Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"06 Dec 2023"
"All datapoints provided as of end of last active trading day."
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;164.00;165.00;161.00;165.00;"05/12/2023 16:01";CET;78;12704.00;165.00;05/12/2023
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;203.00;203.00;196.18;202.00;"05/12/2023 17:25";CET;30;5992.52;199.76;05/12/2023
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;3.84;3.90;3.84;3.86;"05/12/2023 17:09";CET;2000;7750.00;3.86;05/12/2023
AATECH;IT0005548521;AAT;"Euronext Growth Milan";EUR;1.355;1.405;1.26;1.405;"29/11/2023 17:35";CET;22500;29902.50;1.405;05/12/2023
"ABC COMPANY";IT0005466294;ABC;"Euronext Growth Milan";EUR;3.70;3.70;3.70;3.70;"23/08/2023 17:35";CET;1500;5550.00;3.70;05/12/2023
ACQUAZZURRA;IT0005443061;ACQ;"Euronext Growth Milan";EUR;9.90;9.90;9.90;9.90;"06/03/2023 00:00";CET;3000;29700.00;9.90;05/12/2023
AGATOS;IT0005421919;AGA;"Euronext Growth Milan";EUR;0.2445;0.2495;0.224;0.239;"28/09/2023 17:35";CET;121100;28527.65;0.239;05/12/2023
ALA;IT0005446700;ALA;"Euronext Growth Milan";EUR;14.55;14.90;14.50;14.55;"05/12/2023 17:16";CET;2658;38598.80;14.55;05/12/2023
"ALFIO BARDOLLA";IT0005244030;ABTG;"Euronext Growth Milan";EUR;2.41;2.44;2.40;2.40;"05/12/2023 17:00";CET;7350;17801.00;2.40;05/12/2023
ALFONSINO;IT0005466039;ALFO;"Euronext Growth Milan";EUR;0.66;0.686;0.66;0.684;"05/12/2023 15:29";CET;19000;12746.00;0.684;05/12/2023
ALLCORE;IT0005461303;CORE;"Euronext Growth Milan";EUR;1.74;1.79;1.74;1.755;"05/12/2023 16:44";CET;3735;6558.83;1.755;05/12/2023
ALMAWAVE;IT0005434615;AIW;"Euronext Growth Milan";EUR;3.85;3.90;3.82;3.90;"05/12/2023 15:35";CET;3657;14204.70;3.90;05/12/2023
"ALTEA GREEN POWER";IT0005472730;AGP;"Euronext Growth Milan";EUR;4.95;5.14;4.85;5.04;"05/12/2023 17:35";CET;41825;210015.80;5.04;05/12/2023
AMBROMOBILIARE;IT0004779515;AMB;"Euronext Growth Milan";EUR;1.38;1.38;1.27;1.29;"05/12/2023 17:25";CET;20600;26986.00;1.29;05/12/2023
"ARRAS GROUP";IT0005540676;AGU;"Euronext Growth Milan";EUR;1.01;1.01;1.01;1.01;"27/11/2023 17:35";CET;5000;5050.00;1.01;05/12/2023
"ARTERRA BIOSCIENCE";IT0005386369;ARBS;"Euronext Growth Milan";EUR;1.61;1.64;1.60;1.60;"05/12/2023 16:45";CET;9000;14595.00;1.60;05/12/2023
"ASKOLL EVA";IT0005337123;EVA;"Euronext Growth Milan";EUR;0.329;0.332;0.325;0.326;"05/12/2023 17:35";CET;120000;39282.50;0.326;05/12/2023
"ATON GREEN STORAGE";IT0005449464;ATON;"Euronext Growth Milan";EUR;6.22;6.30;5.94;5.94;"05/12/2023 15:48";CET;7000;43030.00;5.94;05/12/2023
"BELLINI NAUTICA";IT0005497042;BELL;"Euronext Growth Milan";EUR;1.29;1.30;1.28;1.30;"05/12/2023 14:49";CET;14500;18710.00;1.30;05/12/2023
BIFIRE;IT0005495335;FIRE;"Euronext Growth Milan";EUR;2.74;3.00;2.74;3.00;"05/12/2023 17:21";CET;18500;52540.00;2.96;05/12/2023
"CASTA DIVA GROUP";IT0005003782;CDG;"Euronext Growth Milan";EUR;1.46;1.46;1.38;1.395;"05/12/2023 17:35";CET;339500;478190.00;1.395;05/12/2023
CIRCLE;IT0005344996;CIRC;"Euronext Growth Milan";EUR;6.35;6.35;6.30;6.30;"05/12/2023 17:35";CET;1320;8332.50;6.30;05/12/2023
CLABO;IT0005091324;CLABO;"Euronext Growth Milan";EUR;2.23;2.29;2.15;2.15;"05/12/2023 17:35";CET;111000;247605.00;2.15;05/12/2023
