"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"1";4;"Euronext Growth Milan";"AIM.MI";"AIM";"4AIM SICAF";"IT0005204729";2023-12-05;TRUE
"2";5;"Euronext Growth Milan";"AIM2.MI";"AIM2";"4AIM SICAF COMP 2";"IT0005440323";2023-12-05;TRUE
"3";6;"Euronext Growth Milan";"ABP.MI";"ABP";"A.B.P. NOCIVELLI";"IT0005439861";2023-12-05;TRUE
"4";7;"Euronext Growth Milan";"AAT.MI";"AAT";"AATECH";"IT0005548521";2023-11-29;TRUE
"5";8;"Euronext Growth Milan";"ABC.MI";"ABC";"ABC COMPANY";"IT0005466294";2023-08-23;FALSE
"6";9;"Euronext Growth Milan";"ACQ.MI";"ACQ";"ACQUAZZURRA";"IT0005443061";2023-03-06;FALSE
"7";10;"Euronext Growth Milan";"AGA.MI";"AGA";"AGATOS";"IT0005421919";2023-09-28;FALSE
"8";11;"Euronext Growth Milan";"ALA.MI";"ALA";"ALA";"IT0005446700";2023-12-05;TRUE
"9";12;"Euronext Growth Milan";"ABTG.MI";"ABTG";"ALFIO BARDOLLA";"IT0005244030";2023-12-05;TRUE
"10";13;"Euronext Growth Milan";"ALFO.MI";"ALFO";"ALFONSINO";"IT0005466039";2023-12-05;TRUE
"11";14;"Euronext Growth Milan";"CORE.MI";"CORE";"ALLCORE";"IT0005461303";2023-12-05;TRUE
"12";15;"Euronext Growth Milan";"AIW.MI";"AIW";"ALMAWAVE";"IT0005434615";2023-12-05;TRUE
"13";16;"Euronext Growth Milan";"AGP.MI";"AGP";"ALTEA GREEN POWER";"IT0005472730";2023-12-05;TRUE
"14";17;"Euronext Growth Milan";"AMB.MI";"AMB";"AMBROMOBILIARE";"IT0004779515";2023-12-05;TRUE
"15";18;"Euronext Growth Milan";"AGU.MI";"AGU";"ARRAS GROUP";"IT0005540676";2023-11-27;TRUE
"16";19;"Euronext Growth Milan";"ARBS.MI";"ARBS";"ARTERRA BIOSCIENCE";"IT0005386369";2023-12-05;TRUE
"17";20;"Euronext Growth Milan";"EVA.MI";"EVA";"ASKOLL EVA";"IT0005337123";2023-12-05;TRUE
"18";21;"Euronext Growth Milan";"ATON.MI";"ATON";"ATON GREEN STORAGE";"IT0005449464";2023-12-05;TRUE
"19";22;"Euronext Growth Milan";"BELL.MI";"BELL";"BELLINI NAUTICA";"IT0005497042";2023-12-05;TRUE
"20";23;"Euronext Growth Milan";"FIRE.MI";"FIRE";"BIFIRE";"IT0005495335";2023-12-05;TRUE
"21";24;"Euronext Growth Milan";"CDG.MI";"CDG";"CASTA DIVA GROUP";"IT0005003782";2023-12-05;TRUE
"22";25;"Euronext Growth Milan";"CIRC.MI";"CIRC";"CIRCLE";"IT0005344996";2023-12-05;TRUE
"23";26;"Euronext Growth Milan";"CLABO.MI";"CLABO";"CLABO";"IT0005091324";2023-12-05;TRUE
"24";27;"Euronext Growth Milan";"CBB.MI";"CBB";"CLEANBNB";"IT0005377277";2023-12-05;TRUE
"25";28;"Euronext Growth Milan";"CFL.MI";"CFL";"COFLE";"IT0005465619";2023-12-05;TRUE
